system   D            wsystem.c:583  maybe_parent_dir                 [   0.00254] Also searching C:\Users\box\Documents\Visual Studio 2012\Projects\Dungeon\
display  D   display_settings.c:377  _al_score_display_settings       [   0.06808] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06814] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06822] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06829] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06837] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06844] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06852] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06860] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06868] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06875] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06883] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06890] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06908] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06915] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06923] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06930] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06938] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06945] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06953] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06960] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06968] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06975] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06983] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06998] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07005] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07013] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07020] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
